symbol,company_name,isin,parent_sector,parent_sector_id,major_industry,major_industry_id,sub_industry,sub_industry_id,primary_business,classification_confidence,classification_rationale,classification_source,effective_from,effective_to,last_verified,verification_status
ABSLPSE,ABSLPSE,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ABSMARINE,ABSMARINE,,SHIPBUILDING & PORTS,SEC_SHIPBUILDING_PORTS,Offshore Marine Support Vessels & Ship Logistics,IND_OFFSHORE_MARINE_SUPPORT_VESSELS_SHIP_LOGISTICS,"Anchor Handling Tugs, Platform Supply Vessels & Marine Chartering",SUB_ANCHOR_HANDLING_TUGS_PLATFORM_SUPPLY_VESSELS_MARINE_CHARTERING,"Operating offshore marine support vessels, dynamic positioning anchor-handling tugs and harbor marine logistics.",HIGH,"Classified into Parent Sector 'SHIPBUILDING & PORTS' and Major Industry 'Offshore Marine Support Vessels & Ship Logistics' (Anchor Handling Tugs, Platform Supply Vessels & Marine Chartering) based on primary economic business exposure: Operating offshore marine support vessels, dynamic positioning anchor-handling tugs and harbor marine logistics.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ACCENTMIC,ACCENTMIC,,EMS & ELECTRONICS,SEC_EMS_ELECTRONICS,Electronic Manufacturing Services (EMS),IND_ELECTRONIC_MANUFACTURING_SERVICES_EMS,"Contract PCBA, Box-Build & Industrial Electronics Assembly",SUB_CONTRACT_PCBA_BOX_BUILD_INDUSTRIAL_ELECTRONICS_ASSEMBLY,Turnkey electronic manufacturing services including SMT printed circuit board assembly and box-build assembly.,HIGH,"Classified into Parent Sector 'EMS & ELECTRONICS' and Major Industry 'Electronic Manufacturing Services (EMS)' (Contract PCBA, Box-Build & Industrial Electronics Assembly) based on primary economic business exposure: Turnkey electronic manufacturing services including SMT printed circuit board assembly and box-build assembly.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ACCPL,ACCPL,,CEMENT,SEC_CEMENT,Regional Grey & Specialty Cement,IND_REGIONAL_GREY_SPECIALTY_CEMENT,"Regional Grey Cement, White Cement & Wall Putty",SUB_REGIONAL_GREY_CEMENT_WHITE_CEMENT_WALL_PUTTY,"Regional manufacturing of Portland Pozzolana cement, white cement and cementitious construction products.",HIGH,"Classified into Parent Sector 'CEMENT' and Major Industry 'Regional Grey & Specialty Cement' (Regional Grey Cement, White Cement & Wall Putty) based on primary economic business exposure: Regional manufacturing of Portland Pozzolana cement, white cement and cementitious construction products.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ACTIVEINFR,ACTIVEINFR,,REAL ESTATE,SEC_REAL_ESTATE,Residential Real Estate Developers,IND_RESIDENTIAL_REAL_ESTATE_DEVELOPERS,"Luxury, Premium & Affordable Gated Housing Communities",SUB_LUXURY_PREMIUM_AFFORDABLE_GATED_HOUSING_COMMUNITIES,"Land acquisition, architectural master-planning, construction and sale of luxury high-rise and plotted residential townships.",HIGH,"Classified into Parent Sector 'REAL ESTATE' and Major Industry 'Residential Real Estate Developers' (Luxury, Premium & Affordable Gated Housing Communities) based on primary economic business exposure: Land acquisition, architectural master-planning, construction and sale of luxury high-rise and plotted residential townships.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ADDICTIVE,ADDICTIVE,,MEDIA & ENTERTAINMENT,SEC_MEDIA_ENTERTAINMENT,Print Media & Publishing,IND_PRINT_MEDIA_PUBLISHING,"Daily Vernacular Newspapers, Periodicals & Commercial Printing",SUB_DAILY_VERNACULAR_NEWSPAPERS_PERIODICALS_COMMERCIAL_PRINTING,Publishing and circulation of leading regional language daily morning newspapers and commercial rotogravure printing.,HIGH,"Classified into Parent Sector 'MEDIA & ENTERTAINMENT' and Major Industry 'Print Media & Publishing' (Daily Vernacular Newspapers, Periodicals & Commercial Printing) based on primary economic business exposure: Publishing and circulation of leading regional language daily morning newspapers and commercial rotogravure printing.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ADISOFT,ADISOFT,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT Services & Digital Consulting,IND_MID_TIER_IT_SERVICES_DIGITAL_CONSULTING,"Custom Software Development, Data Analytics & AI Integration",SUB_CUSTOM_SOFTWARE_DEVELOPMENT_DATA_ANALYTICS_AI_INTEGRATION,"Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",HIGH,"Classified into Parent Sector 'IT SERVICES' and Major Industry 'Mid-Tier IT Services & Digital Consulting' (Custom Software Development, Data Analytics & AI Integration) based on primary economic business exposure: Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AERON,AERON,,DEFENCE,SEC_DEFENCE,Military Aircraft & Aerospace Systems,IND_MILITARY_AIRCRAFT_AEROSPACE_SYSTEMS,"Fighter Jets, Helicopters & Turbofan Engines",SUB_FIGHTER_JETS_HELICOPTERS_TURBOFAN_ENGINES,"Design, indigenous production and overhaul of fighter aircraft, military helicopters and aerospace avionics.",HIGH,"Classified into Parent Sector 'DEFENCE' and Major Industry 'Military Aircraft & Aerospace Systems' (Fighter Jets, Helicopters & Turbofan Engines) based on primary economic business exposure: Design, indigenous production and overhaul of fighter aircraft, military helicopters and aerospace avionics.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AESTHETIK,AESTHETIK,,METALS & FABRICATION,SEC_METALS_FABRICATION,Precision Metal Fabrication & Structures,IND_PRECISION_METAL_FABRICATION_STRUCTURES,"Custom Heavy Steel Fabrications, Industrial Enclosures & Stampings",SUB_CUSTOM_HEAVY_STEEL_FABRICATIONS_INDUSTRIAL_ENCLOSURES_STAMPINGS,"Custom metal fabrication, industrial equipment enclosures, structural assemblies and precision metal forming.",HIGH,"Classified into Parent Sector 'METALS & FABRICATION' and Major Industry 'Precision Metal Fabrication & Structures' (Custom Heavy Steel Fabrications, Industrial Enclosures & Stampings) based on primary economic business exposure: Custom metal fabrication, industrial equipment enclosures, structural assemblies and precision metal forming.",BUSINESS_NAME_AND_LEGACY_SECTOR,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AGARWALTUF,AGARWALTUF,,BUILDING MATERIALS,SEC_BUILDING_MATERIALS,Architectural Glass & Building Solutions,IND_ARCHITECTURAL_GLASS_BUILDING_SOLUTIONS,"Float Glass, Tempered Architectural Glass & Prefab Panels",SUB_FLOAT_GLASS_TEMPERED_ARCHITECTURAL_GLASS_PREFAB_PANELS,"Manufacturing of float glass sheets, architectural safety glass, mirrors and prefabricated wall panels.",HIGH,"Classified into Parent Sector 'BUILDING MATERIALS' and Major Industry 'Architectural Glass & Building Solutions' (Float Glass, Tempered Architectural Glass & Prefab Panels) based on primary economic business exposure: Manufacturing of float glass sheets, architectural safety glass, mirrors and prefabricated wall panels.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AGNI,AGNI,,INDUSTRIAL MANUFACTURING,SEC_INDUSTRIAL_MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IND_SPECIALIZED_INDUSTRIAL_TOOLS_ENGINEERING_SUPPLIES,"Precision Machine Tools, Specialized Fasteners & Industrial Supplies",SUB_PRECISION_MACHINE_TOOLS_SPECIALIZED_FASTENERS_INDUSTRIAL_SUPPLIES,"Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",MEDIUM,"Classified into Parent Sector 'INDUSTRIAL MANUFACTURING' and Major Industry 'Specialized Industrial Tools & Engineering Supplies' (Precision Machine Tools, Specialized Fasteners & Industrial Supplies) based on primary economic business exposure: Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",BUSINESS_NAME_AND_SECTOR_EVALUATION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AHIMSA,AHIMSA,,COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS,"Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",HIGH,"Classified into Parent Sector 'COMMERCIAL TRADING' and Major Industry 'Wholesale Commodity & Industrial Distribution' (Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports) based on primary economic business exposure: Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",EXCHANGE_BUSINESS_DESCRIPTION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AILIMITED,AILIMITED,,INDUSTRIAL MANUFACTURING,SEC_INDUSTRIAL_MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IND_SPECIALIZED_INDUSTRIAL_TOOLS_ENGINEERING_SUPPLIES,"Precision Machine Tools, Specialized Fasteners & Industrial Supplies",SUB_PRECISION_MACHINE_TOOLS_SPECIALIZED_FASTENERS_INDUSTRIAL_SUPPLIES,"Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",MEDIUM,"Classified into Parent Sector 'INDUSTRIAL MANUFACTURING' and Major Industry 'Specialized Industrial Tools & Engineering Supplies' (Precision Machine Tools, Specialized Fasteners & Industrial Supplies) based on primary economic business exposure: Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",BUSINESS_NAME_AND_SECTOR_EVALUATION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AIMTRON,AIMTRON,,EMS & ELECTRONICS,SEC_EMS_ELECTRONICS,Electronic Manufacturing Services (EMS),IND_ELECTRONIC_MANUFACTURING_SERVICES_EMS,"Contract PCBA, Box-Build & Industrial Electronics Assembly",SUB_CONTRACT_PCBA_BOX_BUILD_INDUSTRIAL_ELECTRONICS_ASSEMBLY,Turnkey electronic manufacturing services including SMT printed circuit board assembly and box-build assembly.,HIGH,"Classified into Parent Sector 'EMS & ELECTRONICS' and Major Industry 'Electronic Manufacturing Services (EMS)' (Contract PCBA, Box-Build & Industrial Electronics Assembly) based on primary economic business exposure: Turnkey electronic manufacturing services including SMT printed circuit board assembly and box-build assembly.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AISL,AISL,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT Services & Digital Consulting,IND_MID_TIER_IT_SERVICES_DIGITAL_CONSULTING,"Custom Software Development, Data Analytics & AI Integration",SUB_CUSTOM_SOFTWARE_DEVELOPMENT_DATA_ANALYTICS_AI_INTEGRATION,"Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",HIGH,"Classified into Parent Sector 'IT SERVICES' and Major Industry 'Mid-Tier IT Services & Digital Consulting' (Custom Software Development, Data Analytics & AI Integration) based on primary economic business exposure: Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AKANKSHA,AKANKSHA,,INDUSTRIAL MANUFACTURING,SEC_INDUSTRIAL_MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IND_SPECIALIZED_INDUSTRIAL_TOOLS_ENGINEERING_SUPPLIES,"Precision Machine Tools, Specialized Fasteners & Industrial Supplies",SUB_PRECISION_MACHINE_TOOLS_SPECIALIZED_FASTENERS_INDUSTRIAL_SUPPLIES,"Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",MEDIUM,"Classified into Parent Sector 'INDUSTRIAL MANUFACTURING' and Major Industry 'Specialized Industrial Tools & Engineering Supplies' (Precision Machine Tools, Specialized Fasteners & Industrial Supplies) based on primary economic business exposure: Manufacturing of specialized industrial machine tooling, precision fasteners, workshop equipment and industrial B2B supplies.",BUSINESS_NAME_AND_SECTOR_EVALUATION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
AKIKO,AKIKO,,COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS,"Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",HIGH,"Classified into Parent Sector 'COMMERCIAL TRADING' and Major Industry 'Wholesale Commodity & Industrial Distribution' (Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports) based on primary economic business exposure: Engaged in wholesale distribution of commodities, raw materials and B2B industrial products.",EXCHANGE_BUSINESS_DESCRIPTION,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALCODIS,ALCODIS,,BEVERAGES & DISTILLERIES,SEC_BEVERAGES_DISTILLERIES,Spirits & Alcoholic Distilleries,IND_SPIRITS_ALCOHOLIC_DISTILLERIES,"Indian Made Foreign Liquor (IMFL), Single Malts & Grain Spirits",SUB_INDIAN_MADE_FOREIGN_LIQUOR_IMFL_SINGLE_MALTS_GRAIN_SPIRITS,"Distillation and blending of Indian Made Foreign Liquor (IMFL) whiskies, brandies, rums and premium single malts.",HIGH,"Classified into Parent Sector 'BEVERAGES & DISTILLERIES' and Major Industry 'Spirits & Alcoholic Distilleries' (Indian Made Foreign Liquor (IMFL), Single Malts & Grain Spirits) based on primary economic business exposure: Distillation and blending of Indian Made Foreign Liquor (IMFL) whiskies, brandies, rums and premium single malts.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALLETEC,ALLETEC,,IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT Services & Digital Consulting,IND_MID_TIER_IT_SERVICES_DIGITAL_CONSULTING,"Custom Software Development, Data Analytics & AI Integration",SUB_CUSTOM_SOFTWARE_DEVELOPMENT_DATA_ANALYTICS_AI_INTEGRATION,"Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",HIGH,"Classified into Parent Sector 'IT SERVICES' and Major Industry 'Mid-Tier IT Services & Digital Consulting' (Custom Software Development, Data Analytics & AI Integration) based on primary economic business exposure: Mid-sized IT consulting delivering digital transformation, data engineering, cybersecurity and agile development.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALPEXSOLAR,ALPEXSOLAR,,RENEWABLE ENERGY,SEC_RENEWABLE_ENERGY,"Solar PV Cells, Modules & Solar Glass",IND_SOLAR_PV_CELLS_MODULES_SOLAR_GLASS,"Monocrystalline Solar PV Modules, Bifacial Cells & Solar Glass",SUB_MONOCRYSTALLINE_SOLAR_PV_MODULES_BIFACIAL_CELLS_SOLAR_GLASS,"Manufacturing of high-efficiency TOPCon monocrystalline solar photovoltaic modules, solar glass and solar EPC components.",HIGH,"Classified into Parent Sector 'RENEWABLE ENERGY' and Major Industry 'Solar PV Cells, Modules & Solar Glass' (Monocrystalline Solar PV Modules, Bifacial Cells & Solar Glass) based on primary economic business exposure: Manufacturing of high-efficiency TOPCon monocrystalline solar photovoltaic modules, solar glass and solar EPC components.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALPHA,ALPHA,,METALS & FABRICATION,SEC_METALS_FABRICATION,Precision Metal Fabrication & Structures,IND_PRECISION_METAL_FABRICATION_STRUCTURES,"Custom Heavy Steel Fabrications, Industrial Enclosures & Stampings",SUB_CUSTOM_HEAVY_STEEL_FABRICATIONS_INDUSTRIAL_ENCLOSURES_STAMPINGS,"Custom metal fabrication, industrial equipment enclosures, structural assemblies and precision metal forming.",HIGH,"Classified into Parent Sector 'METALS & FABRICATION' and Major Industry 'Precision Metal Fabrication & Structures' (Custom Heavy Steel Fabrications, Industrial Enclosures & Stampings) based on primary economic business exposure: Custom metal fabrication, industrial equipment enclosures, structural assemblies and precision metal forming.",BUSINESS_NAME_AND_LEGACY_SECTOR,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALPHAETF,ALPHAETF,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALPL30IETF,ALPL30IETF,,CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS,"Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",HIGH,"Classified into Parent Sector 'CAPITAL MARKETS' and Major Industry 'Exchange Traded Funds (ETF)' (Passive Equity, Debt & Commodity Index Tracking ETFs) based on primary economic business exposure: Passive exchange-traded fund tracking benchmark equities, sovereign debt, liquid debt or physical gold/silver.",EXCHANGE_SECURITY_MASTER,2024-01-01,9999-12-31,2026-08-23,VERIFIED
ALUWIND,ALUWIND,,RENEWABLE ENERGY,SEC_RENEWABLE_ENERGY,Wind Energy Turbines & Wind Farms,IND_WIND_ENERGY_TURBINES_WIND_FARMS,Multi-Megawatt Wind Turbine Generators & Turnkey Wind Farm EPC,SUB_MULTI_MEGAWATT_WIND_TURBINE_GENERATORS_TURNKEY_WIND_FARM_EPC,"Indigenous manufacturing of high-capacity wind turbine generators, hybrid towers and turnkey wind farm development.",HIGH,"Classified into Parent Sector 'RENEWABLE ENERGY' and Major Industry 'Wind Energy Turbines & Wind Farms' (Multi-Megawatt Wind Turbine Generators & Turnkey Wind Farm EPC) based on primary economic business exposure: Indigenous manufacturing of high-capacity wind turbine generators, hybrid towers and turnkey wind farm development.",ANNUAL_REPORT_SEGMENT_REVENUE,2024-01-01,9999-12-31,2026-08-23,VERIFIED
