parent_sector,parent_sector_id,major_industry,major_industry_id,sub_industry,sub_industry_id
AUTO,SEC_AUTO,Two & Three Wheelers,IND_TWO_THREE_WHEELERS,"Motorcycles, Commuter Scooters & Electric 3W Autos",SUB_MOTORCYCLES_COMMUTER_SCOOTERS_ELECTRIC_3W_AUTOS
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Batteries & Energy Storage,IND_AUTO_BATTERIES_ENERGY_STORAGE,"Lead-Acid Starter Batteries, Lithium EV Packs & Industrial UPS Storage",SUB_LEAD_ACID_STARTER_BATTERIES_LITHIUM_EV_PACKS_INDUSTRIAL_UPS_STORAGE
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Braking & Suspension Systems,IND_AUTO_BRAKING_SUSPENSION_SYSTEMS,"Disc Brakes, Shock Absorbers & Mechanical Cables",SUB_DISC_BRAKES_SHOCK_ABSORBERS_MECHANICAL_CABLES
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Castings & Forgings,IND_AUTO_CASTINGS_FORGINGS,"Precision Machined Crankshafts, Connecting Rods & Castings",SUB_PRECISION_MACHINED_CRANKSHAFTS_CONNECTING_RODS_CASTINGS
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Lighting & Electricals,IND_AUTO_LIGHTING_ELECTRICALS,"LED Headlamps, Taillamps & Electronic Switches",SUB_LED_HEADLAMPS_TAILLAMPS_ELECTRONIC_SWITCHES
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Thermal & Climate Systems,IND_AUTO_THERMAL_CLIMATE_SYSTEMS,"Compressors, Radiators & HVAC Systems",SUB_COMPRESSORS_RADIATORS_HVAC_SYSTEMS
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,Auto Transmission & Driveline,IND_AUTO_TRANSMISSION_DRIVELINE,"Differential Assemblies, Gears & EV Traction Motors",SUB_DIFFERENTIAL_ASSEMBLIES_GEARS_EV_TRACTION_MOTORS
AUTO ANCILLARIES,SEC_AUTO_ANCILLARIES,General Auto Components,IND_GENERAL_AUTO_COMPONENTS,"Engine Components, Fasteners & Sheet Metal Assemblies",SUB_ENGINE_COMPONENTS_FASTENERS_SHEET_METAL_ASSEMBLIES
AVIATION,SEC_AVIATION,Airport Infrastructure & Operations,IND_AIRPORT_INFRASTRUCTURE_OPERATIONS,"International Airport Terminals, Runway Maintenance & Aero-Commercial Real Estate",SUB_INTERNATIONAL_AIRPORT_TERMINALS_RUNWAY_MAINTENANCE_AERO_COMMERCIAL_REAL_ESTATE
AVIATION,SEC_AVIATION,Aviation MRO & Ground Services,IND_AVIATION_MRO_GROUND_SERVICES,"Aircraft Maintenance, Repair & Overhaul (MRO) & Ramp Handling",SUB_AIRCRAFT_MAINTENANCE_REPAIR_OVERHAUL_MRO_RAMP_HANDLING
AVIATION,SEC_AVIATION,Passenger Airlines & Air Transport,IND_PASSENGER_AIRLINES_AIR_TRANSPORT,Scheduled Low-Cost Domestic & International Passenger Airline Operations,SUB_SCHEDULED_LOW_COST_DOMESTIC_INTERNATIONAL_PASSENGER_AIRLINE_OPERATIONS
BANKING,SEC_BANKING,Private Sector Commercial Banks,IND_PRIVATE_SECTOR_COMMERCIAL_BANKS,"Retail Mortgages, Credit Cards, Corporate Loans & Digital Banking",SUB_RETAIL_MORTGAGES_CREDIT_CARDS_CORPORATE_LOANS_DIGITAL_BANKING
BANKING,SEC_BANKING,Public Sector Commercial Banks (PSU),IND_PUBLIC_SECTOR_COMMERCIAL_BANKS_PSU,"Sovereign-Backed Corporate Credit, Agri Loans & CASA Deposits",SUB_SOVEREIGN_BACKED_CORPORATE_CREDIT_AGRI_LOANS_CASA_DEPOSITS
BANKING,SEC_BANKING,Small Finance Banks,IND_SMALL_FINANCE_BANKS,"Priority Sector Lending, Micro-Loans & Semi-Urban Deposits",SUB_PRIORITY_SECTOR_LENDING_MICRO_LOANS_SEMI_URBAN_DEPOSITS
BEVERAGES & DISTILLERIES,SEC_BEVERAGES_DISTILLERIES,Breweries & Beer,IND_BREWERIES_BEER,"Lager Beer, Strong Beer & Craft Brewing Operations",SUB_LAGER_BEER_STRONG_BEER_CRAFT_BREWING_OPERATIONS
BEVERAGES & DISTILLERIES,SEC_BEVERAGES_DISTILLERIES,Spirits & Alcoholic Distilleries,IND_SPIRITS_ALCOHOLIC_DISTILLERIES,"Indian Made Foreign Liquor (IMFL), Single Malts & Grain Spirits",SUB_INDIAN_MADE_FOREIGN_LIQUOR_IMFL_SINGLE_MALTS_GRAIN_SPIRITS
BEVERAGES & DISTILLERIES,SEC_BEVERAGES_DISTILLERIES,Wine Production & Vineyards,IND_WINE_PRODUCTION_VINEYARDS,Estate Grown Varietal Wines & Vineyard Hospitality,SUB_ESTATE_GROWN_VARIETAL_WINES_VINEYARD_HOSPITALITY
BUILDING MATERIALS,SEC_BUILDING_MATERIALS,Architectural Glass & Building Solutions,IND_ARCHITECTURAL_GLASS_BUILDING_SOLUTIONS,"Float Glass, Tempered Architectural Glass & Prefab Panels",SUB_FLOAT_GLASS_TEMPERED_ARCHITECTURAL_GLASS_PREFAB_PANELS
BUILDING MATERIALS,SEC_BUILDING_MATERIALS,Ceramic Tiles & Sanitaryware,IND_CERAMIC_TILES_SANITARYWARE,"Vitrified Floor Tiles, Ceramic Wall Tiles & Sanitaryware",SUB_VITRIFIED_FLOOR_TILES_CERAMIC_WALL_TILES_SANITARYWARE
BUILDING MATERIALS,SEC_BUILDING_MATERIALS,Plastic & PVC Pipes & Fittings,IND_PLASTIC_PVC_PIPES_FITTINGS,"CPVC Plumbing Pipes, SWR Drainage & Agricultural PVC Pipes",SUB_CPVC_PLUMBING_PIPES_SWR_DRAINAGE_AGRICULTURAL_PVC_PIPES
BUILDING MATERIALS,SEC_BUILDING_MATERIALS,Wood Panels & Decorative Laminates,IND_WOOD_PANELS_DECORATIVE_LAMINATES,"BWP Plywood, MDF Boards & High-Pressure Laminates",SUB_BWP_PLYWOOD_MDF_BOARDS_HIGH_PRESSURE_LAMINATES
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Asset Management Companies (AMC),IND_ASSET_MANAGEMENT_COMPANIES_AMC,"Equity, Debt & Liquid Mutual Fund Schemes Management",SUB_EQUITY_DEBT_LIQUID_MUTUAL_FUND_SCHEMES_MANAGEMENT
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchange Traded Funds (ETF),IND_EXCHANGE_TRADED_FUNDS_ETF,"Passive Equity, Debt & Commodity Index Tracking ETFs",SUB_PASSIVE_EQUITY_DEBT_COMMODITY_INDEX_TRACKING_ETFS
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Exchanges & Depositories,IND_EXCHANGES_DEPOSITORIES,Multi-Asset Stock & Commodity Exchanges & Electronic Depositories,SUB_MULTI_ASSET_STOCK_COMMODITY_EXCHANGES_ELECTRONIC_DEPOSITORIES
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Registrar & Transfer Agencies (RTA),IND_REGISTRAR_TRANSFER_AGENCIES_RTA,Mutual Fund Investor Servicing & Transaction Processing Tech,SUB_MUTUAL_FUND_INVESTOR_SERVICING_TRANSACTION_PROCESSING_TECH
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Retail & Institutional Brokerages,IND_RETAIL_INSTITUTIONAL_BROKERAGES,"Digital Discount Broking, Demat Accounts & Margin Trade Financing",SUB_DIGITAL_DISCOUNT_BROKING_DEMAT_ACCOUNTS_MARGIN_TRADE_FINANCING
CAPITAL MARKETS,SEC_CAPITAL_MARKETS,Wealth Management & Financial Advisory,IND_WEALTH_MANAGEMENT_FINANCIAL_ADVISORY,"High Net-Worth Wealth Advisory, Portfolio Management & Distribution",SUB_HIGH_NET_WORTH_WEALTH_ADVISORY_PORTFOLIO_MANAGEMENT_DISTRIBUTION
CEMENT,SEC_CEMENT,Pan-India Large Integrated Cement,IND_PAN_INDIA_LARGE_INTEGRATED_CEMENT,Integrated Clinker & Grey Cement Mega Plants,SUB_INTEGRATED_CLINKER_GREY_CEMENT_MEGA_PLANTS
CEMENT,SEC_CEMENT,Regional Grey & Specialty Cement,IND_REGIONAL_GREY_SPECIALTY_CEMENT,"Regional Grey Cement, White Cement & Wall Putty",SUB_REGIONAL_GREY_CEMENT_WHITE_CEMENT_WALL_PUTTY
CHEMICALS,SEC_CHEMICALS,Basic Organic & Inorganic Chemicals,IND_BASIC_ORGANIC_INORGANIC_CHEMICALS,"Soda Ash, Caustic Soda, Chlorine & Industrial Acids",SUB_SODA_ASH_CAUSTIC_SODA_CHLORINE_INDUSTRIAL_ACIDS
CHEMICALS,SEC_CHEMICALS,Fluorochemicals & Specialty Halogens,IND_FLUOROCHEMICALS_SPECIALTY_HALOGENS,"Refrigerant Gases, Fluoropolymers & Specialty Fluorinated Intermediates",SUB_REFRIGERANT_GASES_FLUOROPOLYMERS_SPECIALTY_FLUORINATED_INTERMEDIATES
CHEMICALS,SEC_CHEMICALS,"Pigments, Dyes & Colorants",IND_PIGMENTS_DYES_COLORANTS,"Organic & Inorganic Pigments, Reactive Dyes & Textile Auxiliaries",SUB_ORGANIC_INORGANIC_PIGMENTS_REACTIVE_DYES_TEXTILE_AUXILIARIES
CHEMICALS,SEC_CHEMICALS,Specialty Chemicals & Custom Synthesis,IND_SPECIALTY_CHEMICALS_CUSTOM_SYNTHESIS,"Phenol, Nitro-Aromatics, Alkyl Amines & Specialty Oleochemicals",SUB_PHENOL_NITRO_AROMATICS_ALKYL_AMINES_SPECIALTY_OLEOCHEMICALS
COMMERCIAL TRADING,SEC_COMMERCIAL_TRADING,Wholesale Commodity & Industrial Distribution,IND_WHOLESALE_COMMODITY_INDUSTRIAL_DISTRIBUTION,"Domestic B2B Commodity Trading, Raw Material Wholesale & Merchant Exports",SUB_DOMESTIC_B2B_COMMODITY_TRADING_RAW_MATERIAL_WHOLESALE_MERCHANT_EXPORTS
CONSTRUCTION & INFRASTRUCTURE,SEC_CONSTRUCTION_INFRASTRUCTURE,Civil & Commercial Building Construction,IND_CIVIL_COMMERCIAL_BUILDING_CONSTRUCTION,"Institutional Campuses, High-Rise Commercial Towers & Hospitals",SUB_INSTITUTIONAL_CAMPUSES_HIGH_RISE_COMMERCIAL_TOWERS_HOSPITALS
CONSTRUCTION & INFRASTRUCTURE,SEC_CONSTRUCTION_INFRASTRUCTURE,Mega Multi-Disciplinary Infrastructure EPC,IND_MEGA_MULTI_DISCIPLINARY_INFRASTRUCTURE_EPC,"Heavy Civil, Elevated Rail, Hydrocarbon & Power Plant EPC",SUB_HEAVY_CIVIL_ELEVATED_RAIL_HYDROCARBON_POWER_PLANT_EPC
CONSTRUCTION & INFRASTRUCTURE,SEC_CONSTRUCTION_INFRASTRUCTURE,Roads & Highways EPC & HAM,IND_ROADS_HIGHWAYS_EPC_HAM,"Expressways, Four-Lane National Highways & Toll Concessions",SUB_EXPRESSWAYS_FOUR_LANE_NATIONAL_HIGHWAYS_TOLL_CONCESSIONS
CONSUMER DURABLES,SEC_CONSUMER_DURABLES,Air Conditioners & Cooling Equipment,IND_AIR_CONDITIONERS_COOLING_EQUIPMENT,"Inverter Split ACs, Commercial Chillers & Air Coolers",SUB_INVERTER_SPLIT_ACS_COMMERCIAL_CHILLERS_AIR_COOLERS
CONSUMER DURABLES,SEC_CONSUMER_DURABLES,Kitchen Appliances & Cookware,IND_KITCHEN_APPLIANCES_COOKWARE,"Pressure Cookers, Non-Stick Cookware & Mixer Grinders",SUB_PRESSURE_COOKERS_NON_STICK_COOKWARE_MIXER_GRINDERS
CONSUMER DURABLES,SEC_CONSUMER_DURABLES,Major Home Appliances (White Goods),IND_MAJOR_HOME_APPLIANCES_WHITE_GOODS,"Washing Machines, Refrigerators & Microwave Ovens",SUB_WASHING_MACHINES_REFRIGERATORS_MICROWAVE_OVENS
CONSUMER ELECTRICALS,SEC_CONSUMER_ELECTRICALS,Cables & Wires,IND_CABLES_WIRES,Extra High Voltage Power Cables & Building Wires,SUB_EXTRA_HIGH_VOLTAGE_POWER_CABLES_BUILDING_WIRES
CONSUMER ELECTRICALS,SEC_CONSUMER_ELECTRICALS,Fast Moving Electrical Goods (FMEG),IND_FAST_MOVING_ELECTRICAL_GOODS_FMEG,"Ceiling Fans, Domestic LED Lighting & Switchgear",SUB_CEILING_FANS_DOMESTIC_LED_LIGHTING_SWITCHGEAR
DEFENCE,SEC_DEFENCE,Defense Ammunition & Tactical Missiles,IND_DEFENSE_AMMUNITION_TACTICAL_MISSILES,"Surface-to-Air Missiles, Warheads & Military Explosives",SUB_SURFACE_TO_AIR_MISSILES_WARHEADS_MILITARY_EXPLOSIVES
DEFENCE,SEC_DEFENCE,Defense Precision Components & Sub-Systems,IND_DEFENSE_PRECISION_COMPONENTS_SUB_SYSTEMS,"Machined Aerostructures, Assemblies & Weapon Hardware",SUB_MACHINED_AEROSTRUCTURES_ASSEMBLIES_WEAPON_HARDWARE
DEFENCE,SEC_DEFENCE,"Defense Radars, Avionics & Simulation",IND_DEFENSE_RADARS_AVIONICS_SIMULATION,"Active Radars, Electronic Warfare & Combat Simulators",SUB_ACTIVE_RADARS_ELECTRONIC_WARFARE_COMBAT_SIMULATORS
DEFENCE,SEC_DEFENCE,Military Aircraft & Aerospace Systems,IND_MILITARY_AIRCRAFT_AEROSPACE_SYSTEMS,"Fighter Jets, Helicopters & Turbofan Engines",SUB_FIGHTER_JETS_HELICOPTERS_TURBOFAN_ENGINES
DEFENCE,SEC_DEFENCE,Naval Defense Warships & Submarines,IND_NAVAL_DEFENSE_WARSHIPS_SUBMARINES,"Stealth Frigates, Destroyers & Submarines",SUB_STEALTH_FRIGATES_DESTROYERS_SUBMARINES
EDIBLE OILS,SEC_EDIBLE_OILS,Edible Oil Refining & Packaging,IND_EDIBLE_OIL_REFINING_PACKAGING,"Refined Palm, Soybean, Mustard Oil & Bakery Fats",SUB_REFINED_PALM_SOYBEAN_MUSTARD_OIL_BAKERY_FATS
EDUCATION & EDTECH,SEC_EDUCATION_EDTECH,Education Institutions & Educational Publishing,IND_EDUCATION_INSTITUTIONS_EDUCATIONAL_PUBLISHING,"K-12 Educational Institutions, Test Prep & Textbooks Publishing",SUB_K_12_EDUCATIONAL_INSTITUTIONS_TEST_PREP_TEXTBOOKS_PUBLISHING
ELECTRICAL EQUIPMENT,SEC_ELECTRICAL_EQUIPMENT,Diesel Engines & Heavy Gensets,IND_DIESEL_ENGINES_HEAVY_GENSETS,"Industrial Diesel Engines, Backup Gensets & Marine Propulsion Units",SUB_INDUSTRIAL_DIESEL_ENGINES_BACKUP_GENSETS_MARINE_PROPULSION_UNITS
ELECTRICAL EQUIPMENT,SEC_ELECTRICAL_EQUIPMENT,Heavy Industrial Boilers & Turbines,IND_HEAVY_INDUSTRIAL_BOILERS_TURBINES,"Utility Steam Boilers, Industrial Gas Turbines & Flue Gas Desulfurization",SUB_UTILITY_STEAM_BOILERS_INDUSTRIAL_GAS_TURBINES_FLUE_GAS_DESULFURIZATION
ELECTRICAL EQUIPMENT,SEC_ELECTRICAL_EQUIPMENT,"Heavy Switchgear, Automation & Drives",IND_HEAVY_SWITCHGEAR_AUTOMATION_DRIVES,"Gas-Insulated Switchgear (GIS), Automation Drives & Substation Panels",SUB_GAS_INSULATED_SWITCHGEAR_GIS_AUTOMATION_DRIVES_SUBSTATION_PANELS
ELECTRICAL EQUIPMENT,SEC_ELECTRICAL_EQUIPMENT,Power & Distribution Transformers,IND_POWER_DISTRIBUTION_TRANSFORMERS,High-Voltage Step-Up Power Transformers & Inverter Transformers,SUB_HIGH_VOLTAGE_STEP_UP_POWER_TRANSFORMERS_INVERTER_TRANSFORMERS
EMS & ELECTRONICS,SEC_EMS_ELECTRONICS,Electronic Manufacturing Services (EMS),IND_ELECTRONIC_MANUFACTURING_SERVICES_EMS,"Contract PCBA, Box-Build & Industrial Electronics Assembly",SUB_CONTRACT_PCBA_BOX_BUILD_INDUSTRIAL_ELECTRONICS_ASSEMBLY
FERTILIZERS,SEC_FERTILIZERS,Fertilizers & Soil Nutrition,IND_FERTILIZERS_SOIL_NUTRITION,"Urea, NPK Complex Fertilizers, DAP & Water-Soluble Plant Nutrients",SUB_UREA_NPK_COMPLEX_FERTILIZERS_DAP_WATER_SOLUBLE_PLANT_NUTRIENTS
FMCG & PERSONAL CARE,SEC_FMCG_PERSONAL_CARE,"Ayurvedic, Skin & Hair Care",IND_AYURVEDIC_SKIN_HAIR_CARE,"Herbal Personal Care, Natural Hair Oils & Dermato-Cosmetics",SUB_HERBAL_PERSONAL_CARE_NATURAL_HAIR_OILS_DERMATO_COSMETICS
FMCG & PERSONAL CARE,SEC_FMCG_PERSONAL_CARE,Home Care & Personal Wash,IND_HOME_CARE_PERSONAL_WASH,"Toilet Soaps, Fabric Detergents & Surface Cleaners",SUB_TOILET_SOAPS_FABRIC_DETERGENTS_SURFACE_CLEANERS
FMCG & PERSONAL CARE,SEC_FMCG_PERSONAL_CARE,Oral Hygiene & Dental Care,IND_ORAL_HYGIENE_DENTAL_CARE,"Toothpaste, Toothbrushes & Mouthwash Formulations",SUB_TOOTHPASTE_TOOTHBRUSHES_MOUTHWASH_FORMULATIONS
FOOD PROCESSING,SEC_FOOD_PROCESSING,Dairy & Dairy Products,IND_DAIRY_DAIRY_PRODUCTS,"Pasteurized Liquid Milk, Curd, Paneer, Cheese & Ghee",SUB_PASTEURIZED_LIQUID_MILK_CURD_PANEER_CHEESE_GHEE
FOOD PROCESSING,SEC_FOOD_PROCESSING,Diversified Packaged Food Products,IND_DIVERSIFIED_PACKAGED_FOOD_PRODUCTS,"Breakfast Cereals, Culinary Sauces, Noodles & Ready-to-Eat Foods",SUB_BREAKFAST_CEREALS_CULINARY_SAUCES_NOODLES_READY_TO_EAT_FOODS
FOOD PROCESSING,SEC_FOOD_PROCESSING,"Packaged Snacks, Biscuits & Bakery",IND_PACKAGED_SNACKS_BISCUITS_BAKERY,"Branded Biscuits, Extruded Snacks, Namkeen & Breads",SUB_BRANDED_BISCUITS_EXTRUDED_SNACKS_NAMKEEN_BREADS
FOOD PROCESSING,SEC_FOOD_PROCESSING,Seafood & Aqua Feed Processing,IND_SEAFOOD_AQUA_FEED_PROCESSING,"Vannamei Shrimp Cultivation, Processing & Aquafeed Pellets",SUB_VANNAMEI_SHRIMP_CULTIVATION_PROCESSING_AQUAFEED_PELLETS
FOOTWEAR,SEC_FOOTWEAR,Footwear Retail & Showroom Chains,IND_FOOTWEAR_RETAIL_SHOWROOM_CHAINS,Multi-Brand & Family Footwear Retail Showrooms,SUB_MULTI_BRAND_FAMILY_FOOTWEAR_RETAIL_SHOWROOMS
FOOTWEAR,SEC_FOOTWEAR,Leather & Industrial Footwear,IND_LEATHER_INDUSTRIAL_FOOTWEAR,Formal Executive Shoes & Industrial Safety Boots,SUB_FORMAL_EXECUTIVE_SHOES_INDUSTRIAL_SAFETY_BOOTS
FOOTWEAR,SEC_FOOTWEAR,Mass & Casual Footwear,IND_MASS_CASUAL_FOOTWEAR,"EVA Slippers, Sandals & Everyday Casuals",SUB_EVA_SLIPPERS_SANDALS_EVERYDAY_CASUALS
FOOTWEAR,SEC_FOOTWEAR,Sports & Athleisure Footwear,IND_SPORTS_ATHLEISURE_FOOTWEAR,Performance Running Shoes & Lifestyle Sneakers,SUB_PERFORMANCE_RUNNING_SHOES_LIFESTYLE_SNEAKERS
HEALTHCARE SERVICES,SEC_HEALTHCARE_SERVICES,Diagnostic & Pathology Laboratories,IND_DIAGNOSTIC_PATHOLOGY_LABORATORIES,"Clinical Biochemistry, Pathology & Advanced Molecular Imaging",SUB_CLINICAL_BIOCHEMISTRY_PATHOLOGY_ADVANCED_MOLECULAR_IMAGING
HEALTHCARE SERVICES,SEC_HEALTHCARE_SERVICES,Hospitals & Multi-Specialty Chains,IND_HOSPITALS_MULTI_SPECIALTY_CHAINS,Tertiary & Quaternary Care Multi-Specialty Hospitals,SUB_TERTIARY_QUATERNARY_CARE_MULTI_SPECIALTY_HOSPITALS
HEALTHCARE SERVICES,SEC_HEALTHCARE_SERVICES,Specialized Medical Services & Devices,IND_SPECIALIZED_MEDICAL_SERVICES_DEVICES,Single-Specialty Clinics & Medical Consumables,SUB_SINGLE_SPECIALTY_CLINICS_MEDICAL_CONSUMABLES
HOTELS & HOSPITALITY,SEC_HOTELS_HOSPITALITY,"Luxury, Business & Boutique Hotels",IND_LUXURY_BUSINESS_BOUTIQUE_HOTELS,"5-Star Luxury Palaces, Business Hotels & Vacation Leisure Resorts",SUB_5_STAR_LUXURY_PALACES_BUSINESS_HOTELS_VACATION_LEISURE_RESORTS
HOTELS & HOSPITALITY,SEC_HOTELS_HOSPITALITY,Quick Service Restaurants (QSR) & Food Chains,IND_QUICK_SERVICE_RESTAURANTS_QSR_FOOD_CHAINS,"Fast Food Master Franchisees (Pizza, Burgers, Fried Chicken) & Dine-In Chains",SUB_FAST_FOOD_MASTER_FRANCHISEES_PIZZA_BURGERS_FRIED_CHICKEN_DINE_IN_CHAINS
INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,"Abrasives, Grinding Media & Industrial Ceramics",IND_ABRASIVES_GRINDING_MEDIA_INDUSTRIAL_CERAMICS,"Bonded Grinding Wheels, High-Chrome Mill Internals & Refractories",SUB_BONDED_GRINDING_WHEELS_HIGH_CHROME_MILL_INTERNALS_REFRACTORIES
INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,Heavy Industrial Process Equipment,IND_HEAVY_INDUSTRIAL_PROCESS_EQUIPMENT,"Glass-Lined Chemical Reactors, Autoclaves & Heat Exchangers",SUB_GLASS_LINED_CHEMICAL_REACTORS_AUTOCLAVES_HEAT_EXCHANGERS
INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,Material Handling & Construction Cranes,IND_MATERIAL_HANDLING_CONSTRUCTION_CRANES,Hydraulic Pick-and-Carry Mobile Cranes & Bulk Material Handling,SUB_HYDRAULIC_PICK_AND_CARRY_MOBILE_CRANES_BULK_MATERIAL_HANDLING
INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,Precision Bearings & Motion Technologies,IND_PRECISION_BEARINGS_MOTION_TECHNOLOGIES,"Tapered Roller Bearings, Ball Bearings & Linear Motion Guides",SUB_TAPERED_ROLLER_BEARINGS_BALL_BEARINGS_LINEAR_MOTION_GUIDES
INDUSTRIAL MACHINERY,SEC_INDUSTRIAL_MACHINERY,"Pumps, Compressors & Fluid Handling",IND_PUMPS_COMPRESSORS_FLUID_HANDLING,"Industrial Centrifugal Pumps, Rotary Screw Air Compressors & Valves",SUB_INDUSTRIAL_CENTRIFUGAL_PUMPS_ROTARY_SCREW_AIR_COMPRESSORS_VALVES
INDUSTRIAL MANUFACTURING,SEC_INDUSTRIAL_MANUFACTURING,Specialized Industrial Tools & Engineering Supplies,IND_SPECIALIZED_INDUSTRIAL_TOOLS_ENGINEERING_SUPPLIES,"Precision Machine Tools, Specialized Fasteners & Industrial Supplies",SUB_PRECISION_MACHINE_TOOLS_SPECIALIZED_FASTENERS_INDUSTRIAL_SUPPLIES
INSURANCE,SEC_INSURANCE,General & Health Insurance,IND_GENERAL_HEALTH_INSURANCE,"Retail Health, Motor, Property & Marine Insurance Underwriting",SUB_RETAIL_HEALTH_MOTOR_PROPERTY_MARINE_INSURANCE_UNDERWRITING
INSURANCE,SEC_INSURANCE,Life Insurance,IND_LIFE_INSURANCE,"Term Life, ULIP, Savings & Annuity Pension Plans",SUB_TERM_LIFE_ULIP_SAVINGS_ANNUITY_PENSION_PLANS
INSURANCE,SEC_INSURANCE,Reinsurance & Insurance Aggregators,IND_REINSURANCE_INSURANCE_AGGREGATORS,National Reinsurance Treaties & Digital Insurance Web Portals,SUB_NATIONAL_REINSURANCE_TREATIES_DIGITAL_INSURANCE_WEB_PORTALS
IT SERVICES,SEC_IT_SERVICES,Engineering Research & Design (ER&D),IND_ENGINEERING_RESEARCH_DESIGN_ER_D,"Automotive Embedded Software, Semiconductor & Industrial IoT",SUB_AUTOMOTIVE_EMBEDDED_SOFTWARE_SEMICONDUCTOR_INDUSTRIAL_IOT
IT SERVICES,SEC_IT_SERVICES,Enterprise Software Products & SaaS,IND_ENTERPRISE_SOFTWARE_PRODUCTS_SAAS,"B2B SaaS Platforms, Digital Maps & Fintech Middleware",SUB_B2B_SAAS_PLATFORMS_DIGITAL_MAPS_FINTECH_MIDDLEWARE
IT SERVICES,SEC_IT_SERVICES,Mid-Tier IT Services & Digital Consulting,IND_MID_TIER_IT_SERVICES_DIGITAL_CONSULTING,"Custom Software Development, Data Analytics & AI Integration",SUB_CUSTOM_SOFTWARE_DEVELOPMENT_DATA_ANALYTICS_AI_INTEGRATION
